name,pct_high_needs,funding_14_15,funding_est_15_16,is_charter
Aspire East Palo Alto Charter,94,9474,11991,TRUE
Aspire ERES Academy,98,8760,10816,TRUE
Aspire Firestone Academy,94,8894,11135,TRUE
Aspire Gateway Academy,93,8902,11149,TRUE
Aspire Golden State College Preparatory Academy,89,9259,11471,TRUE
Aspire Huntington Park Charter,97,9124,11269,TRUE
Aspire Inskeep Academy Charter,99,8900,11091,TRUE
Aspire Juanita Tate Academy Charter,97,8960,11171,TRUE
Aspire Junior Collegiate Academy,95,8947,11101,TRUE
Aspire Langston Hughes Academy,81,9125,11372,TRUE
Aspire Lionel Wilson College Preparatory Academy,96,9496,11837,TRUE
Aspire Monarch Academy,98,9315,10999,TRUE
Aspire Ollin University Preparatory Academy,95,9416,11964,TRUE
Aspire Pacific Academy,97,9799,12070,TRUE
Aspire Port City Academy,74,8457,10429,TRUE
Aspire River Oaks Charter,60,8063,9627,TRUE
Aspire Rosa Parks Academy,94,9186,11365,TRUE
Aspire Slauson Academy Charter,97,8940,11106,TRUE
Aspire Summit Charter Academy,62,8010,9750,TRUE
Aspire Technology Charter AcademAspire Triumph Technology Academy,93,9079,10867,TRUE
Aspire Titan Academy,99,8985,11209,TRUE
Aspire University Charter,33,7576,8949,TRUE
Aspire Vanguard College Preparatory Academy,58,7950,9658,TRUE
Aspire Vincent Shalvey Academy,36,7574,8996,TRUE
Assurance Learning Academy,92,10299,12861,TRUE
Atascadero Unified,40,7975,9600,FALSE
Atwater Elementary,87,8887,11135,FALSE
Auburn Union Elementary,60,8451,9983,FALSE
Audeo Charter,69,9374,11478,TRUE
Aveson Global Leadership Academy,41,7862,9537,TRUE
Aveson School of Leaders,15,7272,8671,FALSE
Azusa Unified,85,9454,11634,FALSE
Bakersfield City Elementary,89,9281,11529,FALSE
Baldwin Park Unified,90,9678,11900,FALSE
Ballico-Cressey Elementary,76,8651,10666,FALSE
Ballington Academy for the Arts and Sciences,78,8469,10645,TRUE
Bangor Union Elementary,80,8868,10791,FALSE
Banning Unified,87,9358,11745,FALSE
Banta Elementary,73,8562,10546,FALSE
Barack Obama Charter,92,8975,11354,TRUE
Barona Indian Charter,42,7597,9027,TRUE
Barstow Unified,79,9042,11235,FALSE
Bass Lake Joint Union Elementary,61,8313,9946,FALSE
Bassett Unified,94,9963,12089,FALSE
Bay Area School of Enterprise,97,10450,12692,FALSE
Bay Area Technology,89,9297,11396,FALSE
Bay View Academy,39,7416,8982,TRUE
Bayshore Elementary,78,8545,10584,FALSE
Bayshore Preparatory Charter,56,8580,10316,TRUE
Beacon Classical Academy Elementary,78,8261,9747,TRUE
Bear Valley Unified,69,8856,10889,FALSE
Beardsley Elementary,85,8877,11072,FALSE
Beaumont Unified,61,8165,10040,FALSE
Beckford Charter for Enriched Studies,25,7263,8800,TRUE
Bella Mente Montessori Academy,23,7507,8771,TRUE
Bella Vista Elementary,66,8438,10240,FALSE
Belleview Elementary,59,9931,10067,FALSE
Bellevue Union Elementary,93,9269,11459,FALSE
Bellevue-Santa Fe Charter,4,7280,8380,TRUE
Bellflower Unified,75,8862,10971,FALSE
Benicia Unified,23,7637,9220,FALSE
Bennett Valley Union Elementary,23,7319,8729,FALSE
Berkeley Unified,41,8632,10033,FALSE
Berryessa Union Elementary,56,7773,9376,FALSE
Bert Corona Charter,89,8587,10658,TRUE
Big Lagoon Union Elementary,83,11168,13416,FALSE
Big Picture High School - Fresno,81,9702,12052,FALSE
Big Springs Union Elementary,64,8370,10043,FALSE
Big Sur Charter,30,7475,8974,TRUE
Big Sur Unified,85,52922,61961,FALSE
Big Valley Joint Unified,73,11875,13780,FALSE
Biggs Unified,50,9278,10568,FALSE
Binkley Elementary Charter,54,7589,9220,TRUE
Birmingham Community Charter High,85,10028,12718,TRUE
Bishop Unified,53,8672,10219,FALSE
Bitney College Preparatory High,44,8707,10553,FALSE
Bitterwater-Tully Union Elemen,33,12017,13773,FALSE
Black Butte Union Elementary,75,9758,11374,FALSE
Black Oak Mine Unified,48,8612,10169,FALSE
Blackford Elementary,81,8560,10627,FALSE
Blake Elementary,100,21316,25532,FALSE
Blochman Union Elementary,68,9890,10320,FALSE
Blue Lake Union Elementary,58,8022,9537,FALSE
Blue Oak Charter,61,7745,9287,TRUE
Bogus Elementary,93,18028,21381,FALSE
Bonita Unified,38,7906,9566,FALSE
Bonsall Unified,36,7621,9095,FALSE
Borrego Springs Unified,88,11110,13073,FALSE
Bowling Green Elementary,85,8493,10417,FALSE
Brawley Elementary,83,8804,10981,FALSE
Brawley Union High,76,10030,12293,FALSE
Brea-Olinda Unified,33,7840,9453,FALSE
Brentwood Union Elementary,31,7311,8813,FALSE
Bridges Academy,86,8747,10844,TRUE
BRIDGES Charter,14,7139,8531,TRUE
Bridgeville Elementary,63,11182,12284,FALSE
Briggs Elementary,83,8637,10840,FALSE
Bright Star Secondary Charter Academy,93,10296,12880,TRUE
Brittan Acres Elementary,13,7167,8670,FALSE
Brittan Elementary,57,7873,9409,FALSE
Browns Elementary,55,7917,9469,FALSE
Buckeye Union Elementary,18,7286,8705,FALSE
Buellton Union Elementary,41,8088,9426,FALSE
Buena Park Elementary,80,8660,10794,FALSE
Buena Vista Elementary,74,8543,10519,FALSE
Bullis Charter,9,7157,8465,TRUE
Burbank Unified,39,7895,9547,FALSE
Burlingame Elementary,26,7238,8729,FALSE
Burnt Ranch Elementary,66,10785,12055,FALSE
Burrel Union Elementary,96,9913,12199,FALSE
Burton Elementary,81,8658,10727,FALSE
Burton Pathways Charter Academy,89,10204,12659,TRUE
Butte Valley Unified,72,10751,12438,FALSE
Butterfield Charter High,69,9320,11726,TRUE
Butteville Union Elementary,56,7984,9424,FALSE
Buttonwillow Union Elementary,96,9722,12003,FALSE
Byron Union Elementary,29,7322,8803,FALSE
Cabrillo Unified,44,7776,9585,FALSE
Cajon Valley Union,71,8369,10289,FALSE
Calabash Charter Academy,18,7192,8690,TRUE
Calahan Community Charter,63,8602,9839,TRUE
Calaveras Unified,51,8419,10110,FALSE
Calexico Unified,95,9658,12173,FALSE
Cali Calmecac Language Academy,60,7820,9318,TRUE
Caliber Beta Academy,85,8797,10794,TRUE
Caliente Union Elementary,71,11435,13015,FALSE
California Connections Academy @ North Bay,27,7923,9405,TRUE
California Connections Academy @ Ripon,36,7929,9579,TRUE
California Heritage YouthBuild Academy,90,9252,11440,TRUE
California Military Institute,87,9458,11832,FALSE
California Montessori Project - Capitol Campus,24,7336,8717,FALSE
California Montessori Project - Elk Grove Campus,20,7342,8727,FALSE
California Montessori Project-San Juan Campus,27,7430,8830,FALSE
California Montessori Project-Shingle Springs Campus,11,7285,8477,FALSE
