AcademicYear	AggregateLevel	CountyCode	DistrictCode	SchoolCode	CountyName	DistrictName	SchoolName	Charter	ReportingCategory	CumulativeEnrollment
2022-23	C	06			Colusa			All	TA	4904
2022-23	C	06			Colusa			No 	GF	2375
2022-23	C	06			Colusa			No 	GM	2528
2022-23	C	06			Colusa			No 	GX	*
2022-23	C	06			Colusa			No 	RA	53
2022-23	C	06			Colusa			No 	RB	39
2022-23	C	06			Colusa			No 	RD	*
2022-23	C	06			Colusa			No 	RF	*
2022-23	C	06			Colusa			No 	RH	3918
2022-23	C	06			Colusa			No 	RI	56
2022-23	C	06			Colusa			No 	RP	*
2022-23	C	06			Colusa			No 	RT	44
2022-23	C	06			Colusa			No 	RW	772
2022-23	C	06			Colusa			No 	SD	753
2022-23	C	06			Colusa			No 	SE	1941
2022-23	C	06			Colusa			No 	SF	28
2022-23	C	06			Colusa			No 	SH	430
2022-23	C	06			Colusa			No 	SM	320
2022-23	C	06			Colusa			No 	SS	3841
2022-23	C	06			Colusa			No 	TA	4904
2022-23	C	07			Contra Costa			All	GF	85114
2022-23	C	07			Contra Costa			All	GM	90144
2022-23	C	07			Contra Costa			All	GX	197
2022-23	C	07			Contra Costa			All	RA	25188
2022-23	C	07			Contra Costa			All	RB	14796
2022-23	C	07			Contra Costa			All	RD	2713
2022-23	C	07			Contra Costa			All	RF	7287
2022-23	C	07			Contra Costa			All	RH	67168
2022-23	C	07			Contra Costa			All	RI	521
2022-23	C	07			Contra Costa			All	RP	1115
2022-23	C	07			Contra Costa			All	RT	12863
2022-23	C	07			Contra Costa			All	RW	43804
2022-23	C	07			Contra Costa			All	SD	25315
2022-23	C	07			Contra Costa			All	SE	31220
2022-23	C	07			Contra Costa			All	SF	708
2022-23	C	07			Contra Costa			All	SH	2839
2022-23	C	07			Contra Costa			All	SM	*
2022-23	C	07			Contra Costa			All	SS	75941
2022-23	C	07			Contra Costa			All	TA	175455
2022-23	C	07			Contra Costa			No 	GF	78803
2022-23	C	07			Contra Costa			No 	GM	83807
2022-23	C	07			Contra Costa			No 	GX	176
2022-23	C	07			Contra Costa			No 	RA	24617
